id_sha256,outer_fold,referencia_humana,previsto,confianca
01968899aae2540a12f63738e36dcc744541f0a21a9803764aedf35ee9a29a73,2,Elétrica > Instalações elétricas,Elétrica > Instalações elétricas,0.163318
019849bfeae2b3c56cc3078e1f6932767b29ca0505f8dd0290380fdcb0b06b1b,1,Manutenção Preventiva > Quadros Elétricos,Manutenção Preventiva > Quadros Elétricos,0.174889
019a01103de475489e3e8e2d2e15e06105cd10706826b793bc7845d84b82fc46,3,Outros > Erro de chamado,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",0.039605
01a38bf7af4687c81ba68bebe71a1e87068a889928a702e34a52728b0caab5b5,5,Manutenção Preventiva > Quadros Elétricos,Manutenção Preventiva > Quadros Elétricos,0.172117
01a5f460adaf53c3af999d81753288536e613420d448b7a4cc0597048d462633,3,Climatização > Ar condicionado split,Climatização > Ar condicionado split,0.22426
01a6e428ca65f349478955309695015bd8a8fcc39c2a7a35c3e27ff2395e7be4,1,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.200568
01a8418958753dfff29d96b6c2fa2681402dab09f80cb32ecedfae170cb3e282,4,"Estrutura Predial > Esquadrias, porta, portão e janelas","Estrutura Predial > Esquadrias, porta, portão e janelas",0.074104
01b25d738a9c0b5cb418483df3daf0a305d511941a4ff28dbbd6b8d520f4d6fa,4,Estrutura Predial > Alvenaria / Pisos / Estrutura,Estrutura Predial > Forro,0.066745
01b32856aa7b720ec3f4f8467c49231ed3aab3a8f2abf8520481ebf55f2af8d8,1,Manutenção Preventiva > Elevador,Manutenção Preventiva > Elevador,0.13097
01b3aab369e2bea66522956c00fe6c1f9ed50f39e974aaeace1f510522724f22,2,Elétrica > Iluminação,Elétrica > Iluminação,0.083498
01b3eaf20a7f80101daf1711b5bbc190b00bb080a46b7922799d191475962f4e,3,Elétrica > Instalações elétricas,Elétrica > Instalações elétricas,0.049887
01b9ba8f1bb4a7fdf4a53074f90730864c01ca549c62f54b04d0489977bd5102,4,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.193451
01bda6de9bbc6533ab171092166ae7e5d76286cb58757cc6dc771fee753f81f6,3,Manutenção Preventiva > Iluminação,Manutenção Preventiva > Iluminação,0.191591
01c03035fd6d15b104f58455d4d8e83d51c1eb3f996bb4f91f8f00d53fe1199c,2,Estrutura Predial > Alvenaria / Pisos / Estrutura,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.052463
01c43cf4cfead303b80541968974bd0b2cd6ca9794bf618af470000ecd4984a2,2,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.160117
01caf75087911b15df17d0c7ba779843ccafa69ba6fa6a271b3d4260ba5dbb16,5,"Estrutura Predial > Esquadrias, porta, portão e janelas","Estrutura Predial > Esquadrias, porta, portão e janelas",0.046594
01cbde8c463f2a8f765d1e8af8e7b4426bc885b18bfe8b640ebd4496912e1798,1,Elétrica > Instalações elétricas,Elétrica > Instalações elétricas,0.090712
01cd4b620a6adcff2dc39f4be9abb6e431b3059d33e0f72e13aefdc0456b8ac9,1,"Manutenção Preventiva > Sistemas de combate a incêndio (extintores, hidrantes)","Segurança contra Incêndio > Sistemas de combate a incêndio (extintores, hidrantes)",0.05207
01d686ec56304394e2f94283c1c6910b4d98e48ba166c5356b0ef9afe7a8a7c6,1,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.218158
01d79e766fd391e6ae96b2f2793c39f3623964f1ab577f5f31ec1659de187977,1,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,Outros > Erro de chamado,0.07799
01d94c641feb63e6dcf45b2b73d534d0b6a5ca28a7e54da98a6207cfac2cd4f1,1,"Estrutura Predial > Telhados, calhas, rufos, etc.","Manutenção Preventiva > Telhados, calhas, rufos, etc.",0.060498
01de65ad96d3d4a613f1e8d59d082e17ce4f082672b96e5c8e29346eb82b3981,5,"Manutenção Preventiva > Telhados, calhas, rufos, etc.","Estrutura Predial > Telhados, calhas, rufos, etc.",0.148929
01f40f9898879233e12c0c79d932f86890013a9b73efedbd9a6e7205aa24fa37,3,Estrutura Predial > Alvenaria / Pisos / Estrutura,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.043726
01f416e1c041510c4529deb5006d23918b89fff2aafcc29daf083556d9ebab5a,3,"Estrutura Predial > Telhados, calhas, rufos, etc.","Estrutura Predial > Telhados, calhas, rufos, etc.",0.066953
01f47382dff9d94f56b8c0dee9cdeadf58a626e7cb8336b5f1cb3fd7b2d64ed8,3,Estrutura Predial > Alvenaria / Pisos / Estrutura,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",0.044959
01f8667f50d52677bea23231a74156e4f92360d7bc3db6127f09942ed32f9eea,5,Elétrica > Gerador,Elétrica > Gerador,0.10803
01f9af08f55beb8f7f96021ae193dfc75f9a6a49393e3009fd296d1344068764,4,Climatização > Ar condicionado split,Climatização > Ar condicionado split,0.122726
01feb703e532a3a63c2c0d2169631125702a00cff0cddcb8b702291f35dc4b2a,3,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.193255
02014790fa336218d8f06fbb9dcc73d14bfca5e72c10946cfdfef960e428a37c,1,Manutenção Preventiva > Quadros Elétricos,Manutenção Preventiva > Quadros Elétricos,0.174889
02064fde7bae6bea132e659c6ae2aee7f0a1022dafa3e78d17771f527b6ae907,2,Manutenção Preventiva > Vistoria em Instalações,Manutenção Preventiva > Vistoria em Instalações,0.236775
020b5d57c9cd0780b50352cbc49ed4ce5e8555441e972545a9b6405a0775fb31,2,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",Estrutura Predial > Alvenaria / Pisos / Estrutura,0.063195
02105104807ebf7d3f206ce700a9bf7f9aa83410244827b97e2eec78b68315ca,5,Elétrica > Subestação,Elétrica > Subestação,0.067254
0220b791b5e92bf4d75e23f485aae6bb4d10a6ed93121048a68ca9d8797ef943,1,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.138192
022284656edac8625faec96215830eff720b0a001b824a1708339d6fbd5265ec,1,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",Estrutura Predial > Alvenaria / Pisos / Estrutura,0.05625
02235381a1465acb03af847849033517ee651f7885192ade88f46dff4738c5b8,4,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.197503
022d71609dd3fe74dc148b68383c6e7c82afdcefaa00cda23a064dd871d9e191,4,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.149889
023050561c398335c4f59637734734e61e177f494ecb6d55e0869a5e741d7dd8,2,Área Externa e Ambiental > Manutenção área externa / meio ambiente / Poda de árvore / Roçagem,Área Externa e Ambiental > Manutenção área externa / meio ambiente / Poda de árvore / Roçagem,0.064858
023397c49836bbeae6db4166dcf916325447a4b905c32a25d522c1f5f4cc909f,5,Hidrossanitária > Hidráulica,Suprimentos / Apoio Técnico > Materiais,0.060404
0239efd4bd9e3df8aa2e917c8bf05b97cfaee864622382580be19cfa442555fa,1,"Estrutura Predial > Telhados, calhas, rufos, etc.","Estrutura Predial > Telhados, calhas, rufos, etc.",0.170922
02412a64297198573c879bf777649a60cddb821bfe45caa65bfc1b8111be9052,2,Elétrica > Instalações elétricas,Elétrica > Instalações elétricas,0.105099
0247438b4075d9b600994dd83fc95867760b68f5d725dad7d3188fbef35827a9,4,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.27026
0252656a94fd2e920b5d3eb4ba1bbb903af8091c9da4efff6886eaf43b09fe80,5,"Estrutura Predial > Esquadrias, porta, portão e janelas",Outros > Erro de chamado,0.036615
