id_sha256,dobra,referencia_humana,modelo,previsto,confianca
373ec112d46d6c97560c80b0014c9861313e5994e6d7ccef3b7ec64900c2a93c,3,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,"Estrutura Predial > Esquadrias, porta, portão e janelas",0.348548
a473459996b96ce015e4f44fc3f3ab3d8033d0514fd5504be6e9d71ef995a765,2,Manutenção Preventiva > Vistoria em Instalações,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.441623
eeb86ba3335981ed72205db4d865506b362f250b40c90f86571dcff097b95c97,1,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.519923
8a3430bd81b8f23502be304efa66dedac3dde2f96763dde165155f25d4e82e46,1,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.354212
8ed5f6c97c680e72cf3da76cc9ccbfb92c01ff74185d2883072fcc7be0d3fdb6,3,Manutenção Preventiva > Vistoria em Instalações,naive_bayes,Hidrossanitária > Hidráulica,0.378744
d73398cebe5ea8605776b60d93ea2842edf703836b093e0e629a6baf41c20fee,2,Outros > Erro de chamado,naive_bayes,Elétrica > Instalações elétricas,0.210498
594333a314f65378239bfec30deab8453daccc86d77ec35265d53baa8a029168,5,Hidrossanitária > Hidráulica,naive_bayes,Hidrossanitária > Hidráulica,0.473896
3b9f84399baa1776bb6ed76ff4095f29d8e8128039d2d23300a3087733cb0a4c,5,Elétrica > Instalações elétricas,naive_bayes,Climatização > Ar condicionado split,0.225129
881319805b315e205edff72012aa101fb057075293464b6413d86cd76593f02b,2,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.663429
4469948f22fdf2a32bda546f4f9a2e002e5113a526af2d7e0bc830dc145531f9,3,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Climatização > Ar condicionado split,0.278446
6f543685273d0e18ee355b32677b6b6e3ecd33d1b4d74d83329ea62ebcab978c,1,Hidrossanitária > Hidráulica,naive_bayes,Hidrossanitária > Hidráulica,0.492718
0ee9b22a5999a969477ad6a0db87cc91c4cdd472879b8469f79cccdaea86a461,2,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.345262
ff82f8369bf72d2b706a32e75b571ec3eb68550403147995cb858c8609837e32,4,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.398931
6bfdef5eaf4a7be4560d261db9b4a63c2ad149002646dd63a39c00f6c99d1f9d,5,Projetos e Reformas > Reforma,naive_bayes,Manutenção Preventiva > Gerador,0.324397
4556b34f73d3244386c449798296b3f21c28df98fd7b0da69a691f1dcbd4a261,3,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,Climatização > Ar condicionado split,0.388156
3761d931eeba3187c439da80d964972393b5820fea3ef9a3f5953b63948f51a3,2,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.490016
94962c41e17d6142a0270b5397ca1371e0ba66f93c7660621816c6f5fd428169,2,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.314928
0b9d9315522cf43c3b956a67f2c95679967aefdd126cefa7c525e99bfc343764,5,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.867891
3834287db1cc2b1064f2a01c046c9b889e393000a353364214c4676067afbaa8,5,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,naive_bayes,Elétrica > Instalações elétricas,0.465035
9f2b69296b69933a12d3cfe71182c77b9cc50edb46e4ded9b944ce04f779307b,5,"Estrutura Predial > Telhados, calhas, rufos, etc.",naive_bayes,Manutenção Preventiva > Gerador,0.2334
535838060adb873063a4538ed034bebfe63d07d42c485b4c778d8dd46b90f14d,1,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.855321
cea10c90eee9f29280e698a1a2c4a70831fee2881d425c883de61d5b6e72e823,2,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.584833
20fa0bcc74ce3b2154926753379e738ea3c9464acb376fcd01a724ae4d546bd3,3,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.3368
01cbde8c463f2a8f765d1e8af8e7b4426bc885b18bfe8b640ebd4496912e1798,1,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.808238
b444aa2fe427a38887a4c1561234c3ab3cd6ad31b760f04d4ef05fbcb8f7c8a7,1,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.997147
6e73a9ee394de721f40ce06adb1e5f58c2085166e8756a64d6792aa479a22e45,2,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.585835
914302698973596f3cc6fc14206d81a13b9d08ada96b4e22fe9a6209087c42ed,5,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,naive_bayes,Elétrica > Instalações elétricas,0.594992
