linha	categoria_historica	pred_naive_bayes	conf_naive_bayes	acerto_naive_bayes	pred_regressao_logistica	conf_regressao_logistica	acerto_regressao_logistica	pred_linear_svc	conf_linear_svc	acerto_linear_svc	pred_sgd	conf_sgd	acerto_sgd	pred_extra_trees	conf_extra_trees	acerto_extra_trees	pred_random_forest	conf_random_forest	acerto_random_forest	pred_lstm	conf_lstm	acerto_lstm
7991	Posto de trabalho > Contratação de Posto de trabalho	Posto de trabalho > Contratação de Posto de trabalho	0.2748	1	Posto de trabalho > Contratação de Posto de trabalho	0.7143	1	Posto de trabalho > Contratação de Posto de trabalho	0.1216	1	Posto de trabalho > Contratação de Posto de trabalho	0.4688	1	Posto de trabalho > Contratação de Posto de trabalho	0.955	1	Posto de trabalho > Contratação de Posto de trabalho	0.955	1	Posto de trabalho > Contratação de Posto de trabalho	0.9921	1
7992	Estrutura Predial > Infiltração	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.4498	0	Estrutura Predial > Infiltração	0.3464	1	Estrutura Predial > Infiltração	0.0677	1	Estrutura Predial > Infiltração	0.2801	1	Estrutura Predial > Infiltração	0.415	1	Estrutura Predial > Infiltração	0.56	1	Estrutura Predial > Infiltração	0.3195	1
7993	Manutenção Preventiva > Ar condicionado split	Manutenção Preventiva > Ar condicionado split	1.0	1	Manutenção Preventiva > Ar condicionado split	0.8823	1	Manutenção Preventiva > Ar condicionado split	0.1259	1	Manutenção Preventiva > Ar condicionado split	0.8934	1	Manutenção Preventiva > Ar condicionado split	1.0	1	Manutenção Preventiva > Ar condicionado split	0.943	1	Manutenção Preventiva > Ar condicionado split	0.9934	1
7994	Estrutura Predial > Alvenaria / Pisos / Estrutura	Climatização > Ar condicionado	0.5296	0	Estrutura Predial > Infiltração	0.6851	0	Estrutura Predial > Infiltração	0.1219	0	Estrutura Predial > Infiltração	0.4927	0	Estrutura Predial > Infiltração	0.725	0	Estrutura Predial > Infiltração	0.7	0	Hidrossanitária > Hidráulica	0.5863	0
7995	Elétrica > Iluminação	Elétrica > Iluminação	0.362	1	Elétrica > Iluminação	0.2583	1	Elétrica > Iluminação	0.0703	1	Elétrica > Iluminação	0.2136	1	Elétrica > Iluminação	0.58	1	Elétrica > Iluminação	0.41	1	Manutenção Preventiva > Telhados, calhas, rufos, etc.	0.3614	0
7996	Estrutura Predial > Alvenaria / Pisos / Estrutura	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.4887	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.075	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0323	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0647	1	Hidrossanitária > Hidráulica	0.51	0	Hidrossanitária > Hidráulica	0.4	0	Projetos e Reformas > Reforma	0.281	0
7997	Elétrica > Iluminação	Elétrica > Iluminação	0.9794	1	Elétrica > Iluminação	0.9337	1	Elétrica > Iluminação	0.2393	1	Elétrica > Iluminação	0.6807	1	Elétrica > Iluminação	0.99	1	Elétrica > Iluminação	0.96	1	Elétrica > Iluminação	0.997	1
7998	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	Climatização > Ar condicionado	0.4652	0	Outros > Erro de chamado	0.1211	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.0388	1	Outros > Erro de chamado	0.0862	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.21	1	Outros > Erro de chamado	0.155	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.4748	1
7999	Estrutura Predial > Esquadrias, porta, portão e janelas	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.3693	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1291	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.0404	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1182	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.525	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.47	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.8896	1
8000	Climatização > Ar condicionado	Climatização > Ar condicionado	0.9226	1	Climatização > Ar condicionado	0.2177	1	Climatização > Ar condicionado	0.0608	1	Climatização > Ar condicionado	0.2451	1	Climatização > Ar condicionado	0.78	1	Climatização > Ar condicionado	0.73	1	Climatização > Ar condicionado	0.9943	1
8001	Hidrossanitária > Hidráulica	Hidrossanitária > Hidráulica	0.959	1	Hidrossanitária > Hidráulica	0.3252	1	Hidrossanitária > Hidráulica	0.0955	1	Hidrossanitária > Hidráulica	0.3372	1	Hidrossanitária > Hidráulica	0.97	1	Hidrossanitária > Hidráulica	0.61	1	Hidrossanitária > Hidráulica	0.5529	1
8002	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	Elétrica > Instalações elétricas	0.4623	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.7892	1	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.1611	1	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.5469	1	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.845	1	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.79	1	Manutenção Preventiva > Bomba	0.1698	0
8003	Elétrica > Iluminação	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.365	0	Elétrica > Iluminação	0.3054	1	Elétrica > Iluminação	0.0675	1	Elétrica > Iluminação	0.2978	1	Elétrica > Iluminação	0.585	1	Elétrica > Iluminação	0.595	1	Elétrica > Iluminação	0.9147	1
8004	Climatização > Ar condicionado	Climatização > Ar condicionado	0.9957	1	Climatização > Ar condicionado	0.772	1	Climatização > Ar condicionado	0.1062	1	Climatização > Ar condicionado	0.6732	1	Climatização > Ar condicionado	0.905	1	Climatização > Ar condicionado	0.85	1	Climatização > Ar condicionado	0.9692	1
8005	Estrutura Predial > Alvenaria / Pisos / Estrutura	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.5815	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1252	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0398	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0952	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.43	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.27	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.5952	0
8006	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.5637	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0865	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0357	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0847	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.46	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.2	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.4417	0
8007	Estrutura Predial > Telhados, calhas, rufos, etc.	Climatização > Ar condicionado	0.3602	0	Estrutura Predial > Infiltração	0.2656	0	Estrutura Predial > Infiltração	0.0596	0	Estrutura Predial > Infiltração	0.2176	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.265	0	Outros > Outros	0.18	0	Estrutura Predial > Forro	0.3248	0
8008	Estrutura Predial > Esquadrias, porta, portão e janelas	Estrutura Predial > Esquadrias, porta, portão e janelas	0.9125	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.6246	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1307	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.4977	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.735	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.805	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.8549	1
8009	Elétrica > Iluminação	Elétrica > Iluminação	0.9064	1	Elétrica > Iluminação	0.6974	1	Elétrica > Iluminação	0.1591	1	Elétrica > Iluminação	0.5402	1	Elétrica > Iluminação	0.96	1	Elétrica > Iluminação	0.915	1	Elétrica > Iluminação	0.9981	1
